species,year,decimalLongitude,decimalLatitude
Anolis biporcatus,2022,-84.2649,9.924523
Boa imperator,2019,-84.136588,9.967474
Iguana iguana,2005,-84.093254,9.973344
Basiliscus plumifrons,2021,-83.773316,9.828073
Anolis lemurinus,2021,-84.042,10.0398
Bothrops asper,2021,-84.260441,9.918484
Senticolis triaspis,2021,-84.209024,9.922288
Anolis laeviventris,2020,-84.127153,9.877513
Anolis capito,2013,-83.833923,9.768611
Iguana iguana,2021,-84.275215,10.012292
Sceloporus malachiticus,2021,-84.043953,9.985392
Anolis charlesmyersi,2021,-84.238066,9.929138
Ctenosaura similis,2021,-84.191776,9.981588
Mastigodryas melanolomus,2021,-84.079611,9.980988
Ctenosaura similis,2017,-84.102444,9.936488
Ctenosaura similis,2017,-84.102444,9.936488
Anolis limifrons,2021,-84.04406,9.985431
Sceloporus malachiticus,2021,-84.044067,9.985424
Ctenosaura similis,2017,-84.102444,9.936488
Basiliscus vittatus,2021,-84.182294,10.146358
Sceloporus malachiticus,2021,-84.055334,9.910096
Leptodeira ornata,2021,-84.14795,9.925275
Iguana iguana,2021,-84.275536,10.012088
Holcosus quadrilineatus,2021,-84.159668,10.004745
Bothriechis lateralis,2021,-84.036518,10.038293
Gonatodes albogularis,2021,-84.184965,9.949326
Kinosternon scorpioides,2021,-84.033935,9.886326
Hemidactylus frenatus,2021,-84.049484,9.937701
Iguana iguana,2021,-84.2434,10.007417
Ctenosaura similis,2021,-84.075097,9.935513
Rhinoclemmys pulcherrima,2014,-84.204712,10.051093
Basiliscus basiliscus,2014,-84.210205,10.037012
Iguana iguana,2019,-84.07885,9.980484
Geophis hoffmanni,2021,-84.018753,9.980106
Anolis limifrons,2021,-84.050575,9.937043
Oxybelis aeneus,2010,-84.28376,9.916182
Tantilla armillata,2021,-84.269732,9.956605
Geophis hoffmanni,2021,-84.062533,9.938578
Gonatodes albogularis,2005,-84.34602,9.989231
Hemidactylus frenatus,2005,-84.346278,9.990863
Sceloporus variabilis,2005,-84.346581,9.99034
Anolis limifrons,2005,-84.346322,9.990474
Hemidactylus frenatus,2005,-84.346241,9.990293
Anolis humilis,2021,-83.769793,9.824826
Anolis limifrons,2005,-84.346946,9.990264
Sceloporus malachiticus,2021,-84.150317,9.87482
Ctenosaura similis,2021,-84.346032,9.990326
Iguana iguana,2005,-84.275604,10.01299
Holcosus undulatus,2021,-84.078847,9.98046
Basiliscus basiliscus,2005,-84.282722,10.055845
