species,year,decimalLongitude,decimalLatitude
Mickelia oligarchica,2000,-84.0,10.03
Lomaridium fragile,2005,-84.15,9.87
Parablechnum schiedeanum,2005,-84.15,9.88
Parablechnum schiedeanum,2004,-84.14,9.89
Austroblechnum divergens,2004,-84.14,9.89
Blakea penduliflora,2000,-84.11,10.12
Blakea guatemalensis,2000,-83.78,9.75
Blakea pauciflora,2000,-83.78,9.75
Billia rosea,2000,-84.01,10.06
Blakea anomala,2000,-83.78,9.75
Besleria formosa,2000,-84.01,10.06
Asplundia stenophylla,2000,-84.0,10.03
Asplenium cuspidatum,2004,-84.13,9.87
Asplenium miradorense,2004,-84.13,9.87
Asplenium pululahuae,2004,-84.14,9.89
Asplenium pululahuae,2000,-84.01,10.06
Asplenium excelsum,2004,-84.13,9.87
Asplenium auritum,2004,-84.14,9.89
Asplenium dissectum,2004,-83.79,9.77
Asplenium aethiopicum,2004,-84.14,9.88
Asclepias glaucescens,2003,-83.97,9.86
Aristolochia grandiflora,2003,-84.05,9.96
Ardisia costaricensis,2000,-84.11,10.12
Ardisia glandulosomarginata,2000,-84.11,10.12
Anthurium microspadix,2000,-84.01,10.06
Anemia phyllitidis,2004,-84.13,9.87
Glossoloma ichthyoderma,2000,-84.11,10.12
Allomarkgrafia brenesiana,2001,-83.78,9.75
Ageratina ixiocladon,2000,-84.11,10.12
Ageratina anisochroma,2000,-83.78,9.75
Adiantum raddianum,2004,-84.13,9.87
Ronnbergia veitchii,2000,-83.78,9.77
Adiantum andicola,2004,-84.14,9.88
Piper decurrens,2001,-84.11666,10.0
Piper bredemeyeri,2001,-84.11666,10.0
Piper pseudolindenii,2001,-84.11666,10.0
Piper bisasperatum,2001,-84.11666,10.0
Cyperus hermaphroditus,2006,-84.051102,9.936286
Nertera granadensis,2023,-84.141811,9.877021
Carica papaya,2023,-84.152983,9.975253
Calceolaria tripartita,2022,-83.856066,9.768282
Peperomia adscendens,2023,-84.141513,9.877078
Cavendishia bracteata,2023,-84.14354,9.87603
Pachystachys lutea,2021,-84.093267,9.933729
Thunbergia mysorensis,2023,-84.096386,9.93931
Palicourea angustifolia,2023,-84.139816,9.878807
Hypoestes phyllostachya,2023,-84.072533,9.939334
Rhynchostele hortensiae,2023,-84.13608,9.880607
Justicia macrantha,2021,-84.137428,9.875694
Spondias purpurea,2023,-84.167171,9.920096
Arachis pintoi,2023,-84.183097,10.075117
Pachystachys lutea,2022,-84.079605,9.981467
Ipomoea cairica,2023,-84.216399,9.995438
Oncidium bryolophotum,2016,-83.839596,9.791483
Jacaranda mimosifolia,2023,-84.074294,9.935583
Euphorbia milii,2023,-84.152866,9.975454
Clerodendrum thomsoniae,2023,-84.152896,9.975248
Hypoestes phyllostachya,2022,-84.035692,9.957562
Ligustrum lucidum,2023,-84.049385,9.937046
Aloe vera,2023,-84.152849,9.975139
Hypoestes phyllostachya,2022,-84.150105,9.872411
Tradescantia poelliae,2022,-83.856066,9.768282
Gonolobus grayumii,2023,-84.10806,10.10004
Clerodendrum thomsoniae,2023,-84.152913,9.975304
Asclepias curassavica,2022,-83.856538,9.767372
Etlingera elatior,2023,-84.308314,9.989951
Anthurium salvinii,2023,-83.899805,9.850144
Sanchezia parvibracteata,2023,-84.115251,9.944559
Enterolobium cyclocarpum,2023,-84.20882,10.029917
Musa ornata,2023,-84.115251,9.944559
Ipomoea cairica,2022,-84.193109,9.980777
Aristolochia grandiflora,2021,-84.0633,9.927312
Lobelia xalapensis,2021,-84.139171,9.879265
Heliconia rostrata,2023,-84.237263,9.987416
Mecardonia procumbens,2022,-84.103128,9.933417
Aristolochia grandiflora,2021,-84.063208,9.92725
Mangifera indica,2023,-84.237263,9.987416
Aristolochia grandiflora,2021,-84.071809,9.932502
Tradescantia zanonia,2023,-84.072851,9.938558
Heliconia rostrata,2023,-84.237263,9.987416
Epidendrum radicans,2023,-84.078993,9.832227
Alpinia purpurata,2023,-84.152983,9.97526
Alpinia purpurata,2023,-84.152909,9.975407
Musa acuminata,2023,-84.152946,9.975292
Costus barbatus,2023,-84.119904,9.935459
Heliconia rostrata,2023,-84.237062,9.987475
Macleania rupestris,2023,-84.139053,9.879483
Alpinia purpurata,2023,-84.237097,9.987437
Ageratum houstonianum,2022,-83.856066,9.768282
Hippeastrum hybridum,2023,-84.160692,9.979503
Musa velutina,2022,-83.856538,9.767372
Euphorbia hirta,2023,-84.015934,9.898387
Musa velutina,2023,-84.115251,9.944559
Maxillaria monteverdensis,2023,-84.141628,9.877057
Mangifera indica,2023,-84.237245,9.987567
Alpinia purpurata,2023,-84.115251,9.944559
Thunbergia alata,2023,-84.196367,10.157111
Trizeuxis falcata,2023,-84.209273,10.029766
Heliconia rostrata,2023,-84.308593,9.990416
Oncidium bracteatum,2023,-84.024953,9.877954
Etlingera elatior,2023,-84.237245,9.987567
